frame_id,sample_arrival_ms,sample_send_ms,acked_bitrate_bps,offset,threshold,usage,target_bitrate_bps
143,21090982,21090982,20720000,0.000964,6.000000,normal,21878159
144,21091015,21091015,20776000,0.000409,6.000000,normal,21878159
145,21091048,21091048,20832000,0.000405,6.000000,normal,21878159
146,21091082,21091082,20888000,0.000401,6.000000,normal,21878159
147,21091115,21091115,20944000,0.000397,6.000000,normal,21878159
148,21091148,21091148,21000000,0.000393,6.000000,normal,21878159
149,21091182,21091182,21056000,0.010769,6.000000,normal,21878159
150,21091215,21091215,21112000,0.000212,6.000000,normal,21878159
151,21091248,21091248,21168000,0.000209,6.000000,normal,21878159
152,21091282,21091282,21235200,0.000714,6.000000,normal,21878159
153,21091315,21091315,21291200,0.000143,6.000000,normal,21878159
154,21091349,21091348,21358400,0.000142,6.000000,normal,21878159
155,21091382,21091382,21380800,0.010934,6.000000,normal,21878159
156,21091415,21091415,21414400,-0.000042,6.000000,normal,22794267
157,21091448,21091448,21560000,-0.000042,6.000000,normal,22794267
158,21091482,21091482,21504000,0.001234,6.000000,normal,22794267
159,21091515,21091515,21560000,0.001221,6.000000,normal,22794267
160,21091548,21091548,21627200,0.001207,6.000000,normal,22794267
161,21091582,21091582,21683200,0.012438,6.000000,normal,22794267
162,21091615,21091615,21739200,-0.000232,6.000000,normal,22794267
163,21091648,21091648,22164800,0.000118,6.000000,normal,22794267
164,21091682,21091682,21862400,0.000116,6.000000,normal,22794267
165,21091715,21091715,21918400,0.000115,6.000000,normal,22794267
166,21091748,21091748,22008000,0.000114,6.000000,normal,22794267
167,21091782,21091782,22041600,0.000112,6.000000,normal,22794267
168,21091815,21091815,22097600,-0.000291,6.000000,normal,22794267
169,21091848,21091848,22153600,0.000066,6.000000,normal,22794267
170,21091882,21091882,22220800,0.000065,6.000000,normal,22794267
171,21091915,21091915,22254400,0.000064,6.000000,normal,22794267
172,21091948,21091948,22276800,0.000064,6.000000,normal,23748735
173,21091982,21091982,22310400,0.000063,6.000000,normal,23748735
174,21092015,21092015,22366400,0.000705,6.000000,normal,23748735
175,21092048,21092048,22433600,0.001034,6.000000,normal,23748735
176,21092082,21092082,22500800,0.013370,6.000000,normal,23748735
177,21092115,21092115,22556800,-0.000592,6.000000,normal,23748735
178,21092149,21092148,22624000,-0.000386,6.000000,normal,23748735
179,21092182,21092182,22691200,0.012148,6.000000,normal,23748735
